GNames	Control_1	Control_2	Control_3	IL6_1	IL6_2	IL6_3
DOK4	0.141726753424483	0.0855692165086226	0.0687482831110176	0.108670701905435	0.0388499573325531	0.0751079463705701
DOK5	0.0481703329004664	0	0.0233662848020762	0	0	0.0638195451988024
DOK6	0.00876134814014428	0.00528976835888154	0	0.0047984783038969	0.00800549868229149	0
DOK7	0.120944619540682	0.0182554388773478	0.0440005225472291	0.115919686830622	0.0276276543625743	0
DOLK	8.21790107488135	12.7051602456608	12.576053376428	8.00358452572025	11.5775843299982	9.56657234756521
DOLPP1	5.59883666949078	9.53822557231012	8.19948367654863	6.3281352678496	8.06474800976398	6.89802968838001
DONSON	4.85266149346534	6.99084989795325	3.76923703450178	4.91177381748837	5.87928333759156	5.08635866155486
DOPEY1	4.61803057199185	5.03882822016403	3.89169391581337	4.79054497268353	4.62639395562891	4.64705724616691
DOPEY2	29.2780303228517	38.5673557346581	44.8978415414218	29.7717302065144	38.2385846176652	45.3038453318991
DOT1L	24.1638886588532	6.27507587951933	25.2279916955866	19.4820111440746	6.38683570755019	24.1317650642989
DPAGT1	18.1640962348255	32.4406829608664	27.1539730224799	20.5517598206651	30.4279491474102	23.1284440659114
DPCD	3.63401931835041	2.41349072197355	3.92217769007077	3.58255061239617	3.11297735063358	4.15260280415572
DPEP1	0	0	0	0	0	0
DPEP2	33.700887192159	31.4458462646939	30.2959516993735	31.6894470895706	26.1544631333183	19.7443018768363
DPEP3	0.578064054106828	0.456401696812592	0.560810295782122	0.340952002445011	0.426618185171438	0.353474362474001
DPF1	0	0	0	0.0180745391489292	0.015077248470861	0
DPF2	15.9881143064651	14.6089683972727	16.6103415633871	16.8252014325529	16.3299575093315	16.0286850191756
DPF3	0.0573581415648998	0.0577177692908295	0.0185487150877766	0.167543042266996	0.0611447697368692	0.0506614796465705
DPH1	8.99964884240178	5.88288363402416	7.09826022984971	9.76095768900293	4.93718207862192	6.54847407488017
DPH2	7.99337509528706	3.98105930705678	7.37761430141142	9.06235977776148	4.14922874804505	7.72631480291012
DPH3	9.32847176633325	8.68731081815047	8.08507744666026	10.3133696551491	9.25606329870787	9.31405529196651
DPH5	3.01268241370526	4.80720627078589	2.79750021583356	3.51215907957761	4.79769456016272	3.10760543248634
DPH6	2.01988052681238	2.17772668161126	1.55717592259567	1.65939409039132	1.97745385799057	1.60087167219422
DPH6-AS1	0.0517250925035592	0	0.100362457084095	0.056658343025575	0.070894082723637	0.0342645740819223
DPH7	12.4903347282249	9.00402768447265	9.48328406671065	10.1353607875445	8.18743072017129	8.5231016301021
